=> model params: 124439808
原来的
max: 511148032
now 158341120
shard 0 load前： 260731904
shard 0 load后： 290132480 

shard 0 drop前： 374018560
shard 0 drop后： 344617984
shard 1 load前： 344617984
shard 1 load后： 374018560 

shard 1 drop前： 424350208
shard 1 drop后： 394949632
shard 2 load前： 394949632
shard 2 load后： 424350208 

shard 2 drop前： 424350208
shard 2 drop后： 394949632
shard 3 load前： 394949632
shard 3 load后： 424350208 

shard 3 drop前： 424350208
shard 3 drop后： 394949632
shard 4 load前： 394949632
shard 4 load后： 424350208 

shard 4 drop前： 424350208
shard 4 drop后： 394949632
shard 5 load前： 394949632
shard 5 load后： 424350208 

shard 5 drop前： 424350208
shard 5 drop后： 394949632
shard 6 load前： 394949632
shard 6 load后： 424350208 

shard 6 drop前： 424350208
shard 6 drop后： 394949632
shard 7 load前： 394949632
shard 7 load后： 424350208 

shard 7 drop前： 424350208
shard 7 drop后： 394949632
shard 8 load前： 394949632
shard 8 load后： 424350208 

shard 8 drop前： 424350208
shard 8 drop后： 394949632
shard 9 load前： 394949632
shard 9 load后： 424350208 

shard 9 drop前： 424350208
shard 9 drop后： 394949632
shard 10 load前： 394949632
shard 10 load后： 424350208 

shard 10 drop前： 424350208
shard 10 drop后： 394949632
shard 11 load前： 394949632
shard 11 load后： 424350208 

shard 11 drop前： 424350208
shard 11 drop后： 394949632
Test: [   0/1000]	Time  0.588 ( 0.588)
max: 1481314816
now 242377728
shard 0 load前： 344617984
shard 0 load后： 374018560 

shard 0 drop前： 424350208
shard 0 drop后： 394949632
shard 1 load前： 394949632
shard 1 load后： 424350208 

shard 1 drop前： 474681856
shard 1 drop后： 445281280
shard 2 load前： 445281280
shard 2 load后： 474681856 

shard 2 drop前： 474681856
shard 2 drop后： 445281280
shard 3 load前： 445281280
shard 3 load后： 474681856 

shard 3 drop前： 474681856
shard 3 drop后： 445281280
shard 4 load前： 445281280
shard 4 load后： 474681856 

shard 4 drop前： 474681856
shard 4 drop后： 445281280
shard 5 load前： 445281280
shard 5 load后： 474681856 

shard 5 drop前： 474681856
shard 5 drop后： 445281280
shard 6 load前： 445281280
shard 6 load后： 474681856 

shard 6 drop前： 474681856
shard 6 drop后： 445281280
shard 7 load前： 445281280
shard 7 load后： 474681856 

shard 7 drop前： 474681856
shard 7 drop后： 445281280
shard 8 load前： 445281280
shard 8 load后： 474681856 

shard 8 drop前： 474681856
shard 8 drop后： 445281280
shard 9 load前： 445281280
shard 9 load后： 474681856 

shard 9 drop前： 474681856
shard 9 drop后： 445281280
shard 10 load前： 445281280
shard 10 load后： 474681856 

shard 10 drop前： 474681856
shard 10 drop后： 445281280
shard 11 load前： 445281280
shard 11 load后： 474681856 

shard 11 drop前： 474681856
shard 11 drop后： 445281280
shard 0 load前： 344617984
shard 0 load后： 374018560 

shard 0 drop前： 424350208
shard 0 drop后： 394949632
shard 1 load前： 394949632
shard 1 load后： 424350208 

shard 1 drop前： 474681856
shard 1 drop后： 445281280
shard 2 load前： 445281280
shard 2 load后： 474681856 

shard 2 drop前： 474681856
shard 2 drop后： 445281280
shard 3 load前： 445281280
shard 3 load后： 474681856 

shard 3 drop前： 474681856
shard 3 drop后： 445281280
shard 4 load前： 445281280
shard 4 load后： 474681856 

shard 4 drop前： 474681856
shard 4 drop后： 445281280
shard 5 load前： 445281280
shard 5 load后： 474681856 

shard 5 drop前： 474681856
shard 5 drop后： 445281280
shard 6 load前： 445281280
shard 6 load后： 474681856 

shard 6 drop前： 474681856
shard 6 drop后： 445281280
shard 7 load前： 445281280
shard 7 load后： 474681856 

shard 7 drop前： 474681856
shard 7 drop后： 445281280
shard 8 load前： 445281280
shard 8 load后： 474681856 

shard 8 drop前： 474681856
shard 8 drop后： 445281280
shard 9 load前： 445281280
shard 9 load后： 474681856 

shard 9 drop前： 474681856
shard 9 drop后： 445281280
shard 10 load前： 445281280
shard 10 load后： 474681856 

shard 10 drop前： 474681856
shard 10 drop后： 445281280
shard 11 load前： 445281280
shard 11 load后： 474681856 

shard 11 drop前： 474681856
shard 11 drop后： 445281280
shard 0 load前： 344617984
shard 0 load后： 374018560 

shard 0 drop前： 424350208
shard 0 drop后： 394949632
shard 1 load前： 394949632
shard 1 load后： 424350208 

shard 1 drop前： 474681856
shard 1 drop后： 445281280
shard 2 load前： 445281280
shard 2 load后： 474681856 

shard 2 drop前： 474681856
shard 2 drop后： 445281280
shard 3 load前： 445281280
shard 3 load后： 474681856 

shard 3 drop前： 474681856
shard 3 drop后： 445281280
shard 4 load前： 445281280
shard 4 load后： 474681856 

shard 4 drop前： 474681856
shard 4 drop后： 445281280
shard 5 load前： 445281280
shard 5 load后： 474681856 

shard 5 drop前： 474681856
shard 5 drop后： 445281280
shard 6 load前： 445281280
shard 6 load后： 474681856 

shard 6 drop前： 474681856
shard 6 drop后： 445281280
shard 7 load前： 445281280
shard 7 load后： 474681856 

shard 7 drop前： 474681856
shard 7 drop后： 445281280
shard 8 load前： 445281280
shard 8 load后： 474681856 

shard 8 drop前： 474681856
shard 8 drop后： 445281280
shard 9 load前： 445281280
shard 9 load后： 474681856 

shard 9 drop前： 474681856
shard 9 drop后： 445281280
shard 10 load前： 445281280
shard 10 load后： 474681856 

shard 10 drop前： 474681856
shard 10 drop后： 445281280
shard 11 load前： 445281280
shard 11 load后： 474681856 

shard 11 drop前： 474681856
shard 11 drop后： 445281280
shard 0 load前： 344617984
shard 0 load后： 374018560 

shard 0 drop前： 424350208
shard 0 drop后： 394949632
shard 1 load前： 394949632
shard 1 load后： 424350208 

shard 1 drop前： 474681856
shard 1 drop后： 445281280
shard 2 load前： 445281280
shard 2 load后： 474681856 

shard 2 drop前： 474681856
shard 2 drop后： 445281280
shard 3 load前： 445281280
shard 3 load后： 474681856 

shard 3 drop前： 474681856
shard 3 drop后： 445281280
shard 4 load前： 445281280
shard 4 load后： 474681856 

shard 4 drop前： 474681856
shard 4 drop后： 445281280
shard 5 load前： 445281280
shard 5 load后： 474681856 

shard 5 drop前： 474681856
shard 5 drop后： 445281280
shard 6 load前： 445281280
shard 6 load后： 474681856 

shard 6 drop前： 474681856
shard 6 drop后： 445281280
shard 7 load前： 445281280
shard 7 load后： 474681856 

shard 7 drop前： 474681856
shard 7 drop后： 445281280
shard 8 load前： 445281280
shard 8 load后： 474681856 

shard 8 drop前： 474681856
shard 8 drop后： 445281280
shard 9 load前： 445281280
shard 9 load后： 474681856 

shard 9 drop前： 474681856
shard 9 drop后： 445281280
shard 10 load前： 445281280
shard 10 load后： 474681856 

shard 10 drop前： 474681856
shard 10 drop后： 445281280
shard 11 load前： 445281280
shard 11 load后： 474681856 

shard 11 drop前： 474681856
shard 11 drop后： 445281280
shard 0 load前： 344617984
shard 0 load后： 374018560 

shard 0 drop前： 424350208
shard 0 drop后： 394949632
shard 1 load前： 394949632
shard 1 load后： 424350208 

shard 1 drop前： 474681856
shard 1 drop后： 445281280
shard 2 load前： 445281280
shard 2 load后： 474681856 

shard 2 drop前： 474681856
shard 2 drop后： 445281280
shard 3 load前： 445281280
shard 3 load后： 474681856 

shard 3 drop前： 474681856
shard 3 drop后： 445281280
shard 4 load前： 445281280
shard 4 load后： 474681856 

shard 4 drop前： 474681856
shard 4 drop后： 445281280
shard 5 load前： 445281280
shard 5 load后： 474681856 

shard 5 drop前： 474681856
shard 5 drop后： 445281280
shard 6 load前： 445281280
shard 6 load后： 474681856 

shard 6 drop前： 474681856
shard 6 drop后： 445281280
shard 7 load前： 445281280
shard 7 load后： 474681856 

shard 7 drop前： 474681856
shard 7 drop后： 445281280
shard 8 load前： 445281280
shard 8 load后： 474681856 

shard 8 drop前： 474681856
